,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
0,Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese,2019
1,Dark Forces,Thriller,2020-08-21,81,2.6,Spanish,2020
5,Drive,Action,2019-11-01,147,3.5,Hindi,2019
6,Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish,2020
9,Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi,2021
10,Searching for Sheela,Documentary,2021-04-22,58,4.1,English,2021
11,The Call,Drama,2020-11-27,112,4.1,Korean,2020
12,Whipped,Romantic comedy,2020-09-18,97,4.1,Indonesian,2020
14,Mercy,Thriller,2016-11-22,90,4.2,English,2016
15,After the Raid,Documentary,2019-12-19,25,4.3,Spanish,2019
18,What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean,2021
20,"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English,2019
21,Secret Obsession,Thriller,2019-07-18,97,4.4,English,2019
22,Sextuplets,Comedy,2019-08-16,99,4.4,English,2019
23,The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi,2021
25,Fatal Affair,Thriller,2020-07-16,89,4.5,English,2020
26,Just Say Yes,Romantic comedy,2021-04-02,97,4.5,Dutch,2021
27,Seriously Single,Comedy,2020-07-31,107,4.5,English,2020
28,The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French,2021
29,5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian,2018
30,After Maria,Documentary,2019-05-24,37,4.6,English/Spanish,2019
31,I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English,2016
33,Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese,2019
34,Rattlesnake,Horror,2019-10-25,85,4.6,English,2019
35,The Players,Comedy,2020-07-15,88,4.6,Italian,2020
36,We Are One,Documentary,2020-07-14,86,4.6,French,2020
37,Finding Agnes,Drama,2020-11-30,105,4.7,Filipino,2020
39,Sentinelle,Action,2021-03-05,80,4.7,French,2021
41,The Binding,Drama,2020-10-02,93,4.7,Italian,2020
43,Christmas Crossfire,Thriller,2020-12-04,106,4.8,German,2020
45,Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi,2020
46,Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish,2020
47,Take the 10,Comedy,2017-01-20,80,4.8,English,2017
